Season,Competition Group,Competition,Week Date,Fixture Location,Time of Match,Team_Role,Team,Opponent,Team_Score,Opponent_Score,Result
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,Whitefields School - Pitch 1,Completed,Home,West Hampstead W1,Surbiton Sparks,2.0,2.0,Draw
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,Whitefields School - Pitch 1,Completed,Away,Surbiton Sparks,West Hampstead W1,2.0,2.0,Draw
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,Latymer Upper School,Completed,Home,PHC Chiswick W1,Surbiton W3,0.0,7.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,Latymer Upper School,Completed,Away,Surbiton W3,PHC Chiswick W1,7.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,Paddington Recreation Ground,Completed,Home,Hampstead & Westminster W3,Wimbledon W3,1.0,2.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,Paddington Recreation Ground,Completed,Away,Wimbledon W3,Hampstead & Westminster W3,2.0,1.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,Old Cranleighan Sports Club,Completed,Home,Old Cranleighan W1,Southgate W2,1.0,3.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,Old Cranleighan Sports Club,Completed,Away,Southgate W2,Old Cranleighan W1,3.0,1.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-12-07,Raynes Park High School,Completed,Home,Wimbledon W3,PHC Chiswick W1,0.0,1.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-12-07,Raynes Park High School,Completed,Away,PHC Chiswick W1,Wimbledon W3,1.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-12-07,Whitefields School - Pitch 1,Completed,Home,West Hampstead W1,Tulse Hill & Dulwich W1,1.0,1.0,Draw
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-12-07,Whitefields School - Pitch 1,Completed,Away,Tulse Hill & Dulwich W1,West Hampstead W1,1.0,1.0,Draw
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-12-07,Kings House Sports Ground,Completed,Home,London Wayfarers W2,Hampstead & Westminster W3,1.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-12-07,Kings House Sports Ground,Completed,Away,Hampstead & Westminster W3,London Wayfarers W2,0.0,1.0,Loss
